,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d),Pre_DS_eff(%)
2014-01-01,2.715000000000001,71.39000000000001,9.015,78.0675,4.0489999999999995,3.1224999999999996,53.589999999999996,17416.5,1331.1999999999998,7.200000000000003,41.829999999999984,1.4307844429795649,1116.0,744.0,1860.0,1356.0,71856.0,3.1013126
2014-01-02,2.8533333333333344,71.60666666666667,8.82,78.02233333333334,4.022666666666666,3.1599999999999997,53.93333333333333,17291.6,1324.3999999999999,7.2006666666666685,41.69999999999999,1.4069435288947483,1112.0,760.0,1872.0,1368.0,70680.0,3.1890726
2014-01-03,2.9916666666666676,71.82333333333334,8.625,77.97716666666668,3.9963333333333333,3.1975,54.276666666666664,17166.7,1317.6,7.201333333333335,41.56999999999999,1.383102614809932,1108.0,776.0,1884.0,1380.0,69504.0,3.2185729
2014-01-04,3.130000000000001,72.04,8.43,77.932,3.9699999999999998,3.235,54.62,17041.8,1310.8,7.202000000000002,41.43999999999999,1.3592617007251153,1104.0,792.0,1896.0,1392.0,68328.0,3.2576077
2014-01-05,3.268333333333334,72.25666666666667,8.235,77.88683333333333,3.943666666666666,3.2725,54.96333333333333,16916.899999999998,1304.0,7.202666666666668,41.30999999999999,1.3354207866402987,1100.0,808.0,1908.0,1404.0,67152.0,3.2740564
2014-01-06,3.406666666666667,72.47333333333334,8.04,77.84166666666667,3.917333333333333,3.31,55.306666666666665,16792.0,1297.2,7.203333333333335,41.17999999999999,1.3115798725554824,1096.0,824.0,1920.0,1416.0,65976.0,3.2866871
2014-01-07,3.5450000000000004,72.69,7.845,77.79650000000001,3.891,3.3475,55.65,16667.1,1290.4,7.204000000000001,41.05,1.2877389584706658,1092.0,840.0,1932.0,1428.0,64800.0,3.39178
2014-01-08,3.6833333333333336,72.90666666666667,7.6499999999999995,77.75133333333333,3.8646666666666665,3.385,55.99333333333333,16542.2,1283.6,7.204666666666667,40.919999999999995,1.2638980443858492,1088.0,856.0,1944.0,1440.0,63624.0,3.39178
2014-01-09,3.8216666666666668,73.12333333333333,7.455,77.70616666666666,3.838333333333333,3.4225,56.336666666666666,16417.3,1276.8,7.205333333333334,40.78999999999999,1.2400571303010328,1084.0,872.0,1956.0,1452.0,62448.0,3.4375727
2014-01-10,3.96,73.34,7.26,77.661,3.812,3.46,56.68,16292.4,1270.0,7.206,40.66,1.2162162162162162,1080.0,888.0,1968.0,1464.0,61272.0,3.4562073
2014-01-11,4.098333333333333,73.55666666666667,7.0649999999999995,77.61583333333334,3.7856666666666667,3.4975,57.02333333333333,16167.5,1263.2,7.206666666666667,40.53,1.1923753021313996,1076.0,904.0,1980.0,1476.0,60096.0,3.4614506
2014-01-12,4.236666666666666,73.77333333333334,6.87,77.57066666666667,3.759333333333333,3.535,57.36666666666667,16042.6,1256.4,7.207333333333334,40.4,1.1685343880465833,1072.0,920.0,1992.0,1488.0,58920.0,3.4689078
