Date,DS_PS_in(%),VS_PS_in(%),DS_WS_in(%),VS_WS_in(%),DS_Digester(%),DS_eff(%),VS_eff(%),ALK(mg CaCO3/L),FA(mg/L),pH,T(°C),Q_PS/Q_WS,Q_PS_in(m³/d),Q_WS_in(m³/d),Q_Total(m³/d),Q_eff(m³/d),Q_Biogas(Nm³/d)
2014-01-01,4.515000000000001,,6.4350000000000005,,3.72,3.8,55.3,,,7.252,40.36,1.2396694214876032,1080.0,871.2,1951.2,1488.0,66480.0
2014-01-02,9.405,38.49,6.3149999999999995,76.97,3.7479999999999998,3.69,56.29,,,7.260000000000001,40.36,1.2784090909090908,1080.0,844.8000000000001,1924.8000000000002,1440.0,67272.0
2014-01-03,6.09,,6.255,,3.7960000000000003,3.75,56.21,,,7.261999999999999,40.36,1.3636363636363635,1080.0,792.0000000000001,1872.0,1416.0,69000.0
2014-01-04,9.375,,6.404999999999999,,3.8340000000000005,3.8,55.16,17740.0,1320.0,7.2540000000000004,40.36,1.2032085561497325,1080.0,897.6,1977.6,1560.0,65544.0
2014-01-05,6.21,69.12,6.51,76.26,3.832,3.825,55.02,,,7.252000000000001,40.28,1.1764705882352942,1056.0,897.6,1953.6,1536.0,63360.0
2014-01-06,5.55,,6.41,,3.8620000000000005,3.6500000000000004,54.48,19372.0,1488.0,7.247999999999999,40.28,1.111111111111111,1056.0,950.4000000000001,2006.4,1584.0,64680.0
2014-01-07,4.53,72.2,5.449999999999999,77.1,3.845999999999999,3.835,56.71,,,7.252,40.28,1.1363636363636362,1080.0,950.4000000000001,2030.4,1536.0,70848.0
2014-01-08,4.28,,6.609999999999999,,3.878,3.82,56.41,,,7.25,40.28,1.2571428571428571,1056.0,840.0,1896.0,1440.0,67224.0
2014-01-09,3.52,78.21,6.145,77.43,3.836,3.8099999999999996,55.85,,,7.217999999999999,40.660000000000004,1.2222222222222223,1056.0,864.0,1920.0,1488.0,65160.0
2014-01-10,3.96,,7.26,,3.812,3.46,56.68,,,7.206,40.660000000000004,1.2162162162162162,1080.0,888.0,1968.0,1464.0,61272.0
2014-01-11,6.695,,5.925000000000001,,3.7960000000000003,3.76,57.42,19804.0,1224.0,7.212000000000001,40.660000000000004,1.0975609756097562,1080.0,984.0,2064.0,1512.0,69312.0
2014-01-12,5.390000000000001,64.91,6.3149999999999995,,3.7880000000000003,3.715,57.04,,,7.208,40.660000000000004,1.0975609756097562,1080.0,984.0,2064.0,1536.0,62688.0
2014-01-13,4.735,,5.885,,3.776,3.625,57.78,19254.0,1200.0,7.2,39.9,1.0714285714285714,1080.0,1008.0,2088.0,1560.0,65160.0
2014-01-14,5.195,78.19,6.33,77.39,3.754,3.675,58.36,,,7.197999999999999,39.9,1.25,1080.0,864.0,1944.0,1464.0,74760.0
2014-01-15,4.87,,6.29,,3.718,3.725,58.53,,,7.194,39.92,1.1842105263157894,1080.0,912.0,1992.0,1488.0,63408.0
2014-01-16,4.789999999999999,74.64,6.09,77.39,3.654,3.685,58.74,,,7.209999999999999,39.88,1.0731707317073171,1056.0,984.0,2040.0,1536.0,54216.0
2014-01-17,4.859999999999999,,5.49,,3.7060000000000004,3.6550000000000002,59.45,,,7.205999999999999,39.940000000000005,1.1,1056.0,960.0,2016.0,1536.0,51912.0
2014-01-18,4.285,,6.035,,3.7060000000000004,3.775,59.44,18218.0,1296.0,7.2219999999999995,40.239999999999995,1.1,1056.0,960.0,2016.0,1464.0,53928.0
2014-01-19,4.99,68.26,6.305,76.58,3.654,3.5949999999999998,60.09,,,7.194,40.239999999999995,1.1842105263157894,1080.0,912.0,1992.0,1416.0,53688.0
2014-01-20,3.96,,6.045,,3.6079999999999997,3.7350000000000003,60.82,16398.0,912.0,7.194,40.2,0.9318181818181818,984.0,1056.0,2040.0,1536.0,51648.0
2014-01-21,6.015000000000001,58.23,5.199999999999999,77.79,3.596,3.605,60.92,,,7.230000000000001,40.2,1.0,1056.0,1056.0,2112.0,1584.0,46704.0
2014-01-22,4.335,,5.605,,3.6019999999999994,3.535,61.17,,,7.248,40.260000000000005,1.0,1080.0,1080.0,2160.0,1608.0,44448.0
2014-01-23,5.49,65.43,5.5,77.38,3.5879999999999996,3.5300000000000002,60.69,,,7.232000000000001,40.260000000000005,0.9361702127659575,1056.0,1128.0,2184.0,1656.0,46968.0
2014-01-24,2.895,,6.005,,3.568,3.5599999999999996,61.4,,,7.231999999999999,40.260000000000005,1.2941176470588236,1056.0,816.0,1872.0,1344.0,65496.0
2014-01-25,4.5,,5.66,,3.55,3.525,60.57,19562.0,1296.0,7.228,40.14,1.25,1080.0,864.0,1944.0,1416.0,57720.0
2014-01-26,4.555,76.39,5.845,77.52,3.5199999999999996,3.5,62.2,,,7.223999999999999,40.14,1.1,1056.0,960.0,2016.0,1488.0,52848.0
2014-01-27,4.49,,5.779999999999999,,3.5140000000000007,3.52,62.27,17658.0,1176.0,7.212000000000001,40.2,1.1794871794871795,1104.0,936.0,2040.0,1488.0,43848.0
2014-01-28,4.545,77.42,5.9,76.63,3.5,3.4699999999999998,62.32,,,7.212000000000001,40.2,1.1282051282051282,1056.0,936.0,1992.0,1416.0,45672.0
